gorovje,izhodišče,višina_izhodišča,cilj,višina_cilja,opomba_poti,čas_hoje,zahtevnost,višinska_razlika_po_poti,število_ogledov,ocena,število_glasov,širina_cilja,dolžina_cilja,vrsta_cilja
Julijske Alpe, Stara Fužina,600,Triglav,2864,čez Planiko in Triglavsko škrbino,450,zelo zahtevna označena pot,2264,19345,7,1,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Rudno polje,1347,Triglav,2864,čez Kredarico,380,zelo zahtevna označena pot,1900,74961,9,4,"46,37832","13,83648","vrh, bivak"
Julijske Alpe, Aljažev dom v Vratih,1015,Triglav,2864,Tominškova pot,350,zelo zahtevna označena pot,1849,219792,8,13,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Aljažev dom v Vratih,1015,Triglav,2864,čez Prag,360,zelo zahtevna označena pot,1850,123470,9,12,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Aljažev dom v Vratih,1015,Triglav,2864,čez Plemenice,390,zelo zahtevna označena pot,1849,118601,9,13,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Dolina Kot,950,Triglav,2864,,360,zelo zahtevna označena pot,2050,41559,8,8,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Dolina Krma,930,Triglav,2864,čez Kredarico,360,zelo zahtevna označena pot,1934,112269,8,5,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Dolina Krma,930,Triglav,2864,čez Planiko in Mali Triglav,360,zelo zahtevna označena pot,1934,114066,9,7,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Dolina Krma,930,Triglav,2864,čez Planiko in Triglavsko škrbino,345,zelo zahtevna označena pot,1934,34269,8,4,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Konec ceste na Pokljuki,1340,Triglav,2864,čez Kredarico,360,zelo zahtevna označena pot,1650,50305,9,7,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Konec ceste na Pokljuki,1340,Triglav,2864,čez Planiko in Mali Triglav,360,zelo zahtevna označena pot,1650,145941,9,9,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Uskovnica ,1215,Triglav,2864,čez Planiko in Mali Triglav,375,zelo zahtevna označena pot,1900,27908,8,3,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Stara Fužina,600,Triglav,2864,čez Planiko in Mali Triglav,465,zelo zahtevna označena pot,2400,22017,4,6,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Zadnjica,650,Triglav,2864,čez Plemenice,435,zelo zahtevna označena pot,2215,34696,8,4,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Zadnjica,650,Triglav,2864,čez Dolič,435,zelo zahtevna označena pot,2215,89558,9,7,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Rudno polje,1347,Triglav,2864,čez Kugyjevo polico,450,"zahtevno brezpotje, zelo zahtevna označena pot",2000,29921,10,6,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Zadnjica,650,Triglav,2864,čez Komar,435,zelo zahtevna označena pot,2215,21017,10,2,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Aljažev dom v Vratih,1015,Triglav,2864,Gamsja pot okoli Triglava,1530,zelo zahtevna označena pot,3400,29259,10,6,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Koča pri Savici,653,Triglav,2864,čez Triglavska jezera,525,zelo zahtevna označena pot,2530,128114,9,12,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Turkov rovt ,941,Triglav,2864,po dolini Za Cmirom,370,"lahko brezpotje, zelo zahtevna označena pot",2000,38699,6,2,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Planina Blato,1147,Triglav,2864,"čez Grintovico, Planiko in Mali Triglav",405,"lahka neoznačena steza, zelo zahtevna označena pot",1880,24098,10,1,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Uskovnica ,1076,Triglav,2864,čez Triglavsko škrbino,380,zelo zahtevna označena pot,2000,1050,10,1,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Srednja vas,583,Triglav,2864,Za Ribnico in čez Triglavsko škrbino,465,zelo zahtevna označena pot,2485,540,10,1,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Planina Blato,1147,Triglav,2864,Za Kopico,465,zelo zahtevna označena pot,2000,20511,9,2,"46,37832","13,83648","vrh, bivak"
Julijske Alpe, Uskovnica ,1215,Triglav,2864,čez Triglavsko škrbino,360,zelo zahtevna označena pot,1750,16822,8,2,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Konec  ceste na Pokljuki,1340,Triglav,2864,čez Planiko in Triglavsko škrbino,345,zelo zahtevna označena pot,1650,52928,10,14,"46,37832","13,83648","vrh, bivak"
Julijske Alpe,Aljažev dom v Vratih,1015,Dolkova špica,2591,vzhodna pot,360,zelo zahtevna označena pot,1700,15485,9,6,"46,42579","13,81385",vrh
Julijske Alpe,Aljažev dom v Vratih,1015,Dolkova špica,2591,zahodna pot,315,zahtevna označena pot,1566,24812,8,6,"46,42579","13,81385",vrh
Julijske Alpe,Ruski križ,1000,Dolkova špica,2591,čez Kriško steno,345,zelo zahtevna označena pot,1750,11046,8,4,"46,42579","13,81385",vrh
Julijske Alpe,Aljažev dom v Vratih,1015,Dolkova špica,2591,po JV grebenu,300,zelo zahtevno brezpotje,1576,12497,8,4,"46,42579","13,81385",vrh
Julijske Alpe,Pišnica,850,Dolkova špica,2591,čez Kriško steno,380,zelo zahtevna označena pot,1860,296,8,2,"46,42579","13,81385",vrh
Julijske Alpe,Zadnjica,650,Koča na Doliču,2151,,285,lahka označena pot,1515,32560,8,3,"46,36487","13,81953","sedlo, koča"
Julijske Alpe,Konec ceste na Pokljuki,1340,Koča na Doliču,2151,,300,lahka označena pot,1100,17950,9,3,"46,36487","13,81953","sedlo, koča"
Julijske Alpe,Zadnjica,650,Koča na Doliču,2151,čez Komar,285,zelo zahtevna označena pot,1501,12811,8,2,"46,36487","13,81953","sedlo, koča"
Julijske Alpe,Dolina Krma,944,Koča na Doliču,2151,,330,lahka označena pot,1525,7617,9,1,"46,36487","13,81953","sedlo, koča"
Julijske Alpe, Planina Blato,1147,Koča na Doliču,2151,čez Grintovico,330,lahka neoznačena steza,1160,6519,8,1,"46,36487","13,81953","sedlo, koča"
Julijske Alpe, Zadnjica,650,Koča na Doliču,2151,pot Mire Marko Debelakove,405,zelo zahtevna označena pot,1700,5456,8,3,"46,36487","13,81953","sedlo, koča"
Julijske Alpe,Aljažev dom v Vratih,1015,Koča na Doliču,2151,,340,lahka označena pot,1505,690,8,2,"46,36487","13,81953","sedlo, koča"
Julijske Alpe,Planina Blato,1147,Koča na Doliču,2151,Za Kopico,315,lahka označena pot,1300,13794,9,3,"46,36487","13,81953","sedlo, koča"
Julijske Alpe,Koča pri Savici,653,Koča na Doliču,2151,,375,zahtevna označena pot,1700,13243,8,3,"46,36487","13,81953","sedlo, koča"
Julijske Alpe,Zadnjica,650,Morbegna,2520,čez Plemenice,370,"zelo zahtevna označena pot, lahka neoznačena steza",1870,12603,8,3,"46,37661","13,82681",
Julijske Alpe,Zadnjica,650,Morbegna,2520,čez Dolič,385,lahka neoznačena steza,1930,18059,8,4,"46,37661","13,82681",
Julijske Alpe,Planina Blato,1147,Morbegna,2520,Za Kopico,415,lahka neoznačena steza,1700,8743,9,2,"46,37661","13,82681",
Julijske Alpe,Dom v Tamarju,1108,Srednja Ponca,2228,,195,zahtevna označena pot,1120,18807,8,2,"46,45676","13,69881",vrh
Julijske Alpe,Belopeška jezera,929,Srednja Ponca,2228,,225,zelo zahtevna označena pot,1299,9416,8,2,"46,45676","13,69881",vrh
Julijske Alpe,Dom v Tamarju,1108,Zadnja Ponca,2242,,240,zelo zahtevna označena pot,1250,7414,9,2,"46,45048","13,69495",vrh
Julijske Alpe,Belopeška jezera,929,Zadnja Ponca,2242,,270,zelo zahtevna označena pot,1350,6320,8,2,"46,45048","13,69495",vrh
Julijske Alpe,Aljažev dom v Vratih,1015,Pihavec,2419,čez Luknjo,270,zahtevno brezpotje,1404,16586,10,6,"46,39254","13,80664",vrh
Julijske Alpe,Aljažev dom v Vratih,1015,Pihavec,2419,čez Sovatno,300,zahtevna označena pot,1430,14397,8,2,"46,39254","13,80664",vrh
Julijske Alpe,Zadnjica,650,Pihavec,2419,,315,zahtevna označena pot,1770,11899,9,1,"46,39254","13,80664",vrh
Julijske Alpe,Zadnjica,650,Pihavec,2419,čez Luknjo,315,zahtevno brezpotje,1769,3758,10,1,"46,39254","13,80664",vrh
Julijske Alpe,Pod Zjabci,745,Travnik,2252,,285,"zahtevna neoznačena steza, lahko brezpotje",1530,11163,9,2,"46,42902","13,71316",vrh
Julijske Alpe,Pod Zjabci,745,Plaski Vogel,2348,čez Travnik,345,zahtevno brezpotje,1680,12286,9,3,"46,33771","13,75064",vrh
Julijske Alpe,Zadnjica,650,Mišelj vrh,2350,čez Dolič,405,zahtevno brezpotje,1825,13222,9,3,"46,3565","13,83745",vrh
Julijske Alpe,Poldov  rovt ,941,Šplevta,2272,mimo bivaka,270,zahtevna neoznačena steza,1331,6767,9,2,"46,43571","13,84014",
Julijske Alpe,Poldov  rovt ,941,Šplevta,2272,čez Brinje,285,zahtevna neoznačena steza,1331,9470,9,2,"46,43571","13,84014",
